-0.67,-0.66,-0.85,-0.83,323.69,36.31,107.92
-0.68,-0.63,-0.85,-0.81,323.57,36.43,107.92
-0.65,-0.62,-0.71,-0.73,323.6,36.41,107.92
-0.66,-0.67,-0.81,-0.76,323.45,36.57,107.92
-0.69,-0.65,-0.82,-0.88,323.82,36.14,107.92
-0.69,-0.65,-0.82,-0.88,323.82,36.14,107.92
-0.6,-0.61,-0.77,-0.81,323.69,36.28,107.92
-0.61,-0.66,-0.67,-0.73,323.54,36.47,107.92
-0.66,-0.68,-0.76,-0.78,323.53,36.43,107.92
-0.68,-0.68,-0.72,-0.75,323.52,36.5,107.92
-0.6,-0.56,-0.8,-0.79,323.8,36.17,107.92
-0.6,-0.56,-0.8,-0.79,323.8,36.17,107.92
-0.66,-0.7,-0.81,-0.8,323.6,36.33,107.92
-0.58,-0.55,-0.82,-0.84,324.0,36.07,107.92
-0.69,-0.71,-0.77,-0.75,323.8,36.2,107.92
-0.69,-0.71,-0.77,-0.75,323.8,36.2,107.92
-0.65,-0.66,-0.83,-0.85,323.7,36.22,107.92
-0.58,-0.63,-0.88,-0.91,323.65,36.4,107.92
-0.64,-0.62,-0.73,-0.73,323.43,36.55,107.92
-0.64,-0.62,-0.73,-0.73,323.43,36.55,107.92
-0.58,-0.63,-0.83,-0.77,323.49,36.48,107.92
-0.6,-0.65,-0.77,-0.82,323.4,36.57,107.92
-0.62,-0.62,-0.75,-0.73,323.31,36.65,107.92
-0.62,-0.62,-0.75,-0.73,323.31,36.65,107.92
-0.65,-0.63,-0.83,-0.75,323.62,36.33,107.92
-0.54,-0.52,-0.84,-0.88,323.65,36.35,107.92
-0.63,-0.66,-0.78,-0.75,323.44,36.51,107.92
-0.63,-0.66,-0.78,-0.75,323.44,36.51,107.92
-0.63,-0.62,-0.69,-0.78,323.67,36.3,107.92
-0.66,-0.67,-0.73,-0.72,323.42,36.6,107.92
-0.59,-0.6,-0.75,-0.79,323.6,36.39,107.92
-0.59,-0.6,-0.75,-0.79,323.6,36.39,107.92
-0.6,-0.58,-0.83,-0.82,323.61,36.41,107.92
-0.67,-0.66,-0.78,-0.71,323.64,36.35,107.92
-0.63,-0.61,-0.78,-0.89,323.79,36.23,107.92
-0.55,-0.61,-0.81,-0.82,323.68,36.31,107.92
-0.67,-0.65,-0.75,-0.66,323.7,36.28,107.92
-0.63,-0.58,-0.79,-0.81,323.88,36.11,107.92
-0.56,-0.59,-0.75,-0.76,323.86,36.16,107.92
-0.66,-0.65,-0.7,-0.73,323.8,36.21,107.92
-0.61,-0.63,-0.75,-0.7,323.78,36.19,107.92
-0.61,-0.63,-0.75,-0.7,323.78,36.19,107.92
-0.63,-0.58,-0.77,-0.81,323.92,36.15,107.92
-0.65,-0.65,-0.77,-0.82,323.87,36.12,107.92
